block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc
24884245,14118369,2026-04-15T09:14:11+00:00,1776244451,16 hrs ago,57600,0,0,69,quasarbuilder,5239118,8.73,60000000,0.073,0.00214,0.000385,15.24,50,69,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884246,14118370,2026-04-15T09:14:23+00:00,1776244463,16 hrs ago,57600,11,52,470,Titan Builder,50465887,84.11,60000000,0.065,0.0221,0.003328,13.09,50,68,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884247,14118371,2026-04-15T09:14:35+00:00,1776244475,16 hrs ago,57600,0,0,94,quasarbuilder,20891779,34.82,60000000,0.071,0.00066,0.001495,69.31,50,67,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884248,14118372,2026-04-15T09:14:47+00:00,1776244487,16 hrs ago,57600,6,29,501,BuilderNet,57329553,95.55,60000000,0.068,0.01722,0.003948,18.64,50,66,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884249,14118373,2026-04-15T09:14:59+00:00,1776244499,16 hrs ago,57600,0,0,60,quasarbuilder,3374057,5.62,60000000,0.076,0.00053,0.000259,32.76,50,65,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884250,14118374,2026-04-15T09:15:11+00:00,1776244511,16 hrs ago,57600,7,33,382,Titan Builder,59934587,99.99,59941408,0.068,0.02199,0.004087,15.67,50,64,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884251,14118375,2026-04-15T09:15:23+00:00,1776244523,16 hrs ago,57600,8,38,364,BuilderNet,41101244,68.64,59882873,0.076,0.00689,0.003153,31.38,50,63,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884252,14118376,2026-04-15T09:15:35+00:00,1776244535,16 hrs ago,57600,10,48,311,BuilderNet,32234683,53.78,59941351,0.08,0.02135,0.002588,10.81,50,62,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884253,14118377,2026-04-15T09:15:47+00:00,1776244547,16 hrs ago,57600,5,24,189,Titan Builder,19987222,33.31,59999886,0.081,0.00748,0.00162,17.8,50,61,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884254,14118378,2026-04-15T09:15:59+00:00,1776244559,16 hrs ago,57600,0,0,52,quasarbuilder,4489660,7.48,60000000,0.077,0.00205,0.000349,14.51,50,60,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
